Coaster_Name,Location,Status,Manufacturer,Year_Introduced,latitude,longitude,Type_Main,Opening_Date,Speed_mph,Height_ft,Inversions,Gforce,Cost
Roller Coaster (Dam Sen Park),Dam Sen Cultural Park,Operating,Hebei Zhongye Metallurgical Equipment,1998,10.7605,106.6368,Steel,1998-01-01,43.5,78.7,3,3.8,20000000000.0
Wild Eagle,Dollywood,Operating,Bolliger & Mabillard,2012,35.7947,-83.5301,Steel,2012-03-24,61.0,,4,,20000000.0
Boomerang (Six Flags México),Other,,Vekoma,1988,19.2934,-99.2078,Steel,,47.0,,3,5.2,
Space Mountain (Disneyland),Disneyland,Operating,Arrow Development (1977–2003)Dynamic Structures (2005–present)]],1977,33.811,-117.9174,Steel,1977-05-27,35.0,,0,,
Hollywood Rip Ride Rockit,Universal Studios Florida,Operating,Maurer AG,2009,28.4749,-81.4683,Steel,2009-08-19,65.0,,0,4.18,45000000.0
Talon (roller coaster),Dorney Park & Wildwater Kingdom,Operating,Bolliger & Mabillard,2001,40.579,-75.53,Steel,2001-05-05,58.0,,4,4.5,13000000.0
Rewind Racers,Adventure City,Operating,Gerstlauer,2015,33.8151,-117.993,Steel,2015-06-06,31.1,,0,,2000000.0
Viper (Six Flags Magic Mountain),Six Flags Magic Mountain,Operating,Arrow Dynamics,1990,34.4208,-118.5953,Steel,1990-04-07,70.0,,7,4.1,8000000.0
Canopy Flyer,Universal Studios Singapore,Operating,Setpoint Inc.,2010,1.2534,103.824,Steel,2010-03-18,,,0,,
El Loco (Adventuredome),Adventuredome,Operating,S&S – Sansei Technologies,2014,36.1375,-115.1666,Steel,2014-02-18,45.0,,2,,
Muntanya Russa (Tibidabo Amusement Park),Tibidabo Amusement Park,Operating,Vekoma,2008,41.4228,2.1198,Steel,2008-12-23,49.7,,0,3.5,
Flashback (Six Flags Over Texas),Other,,Vekoma,1989,,,Steel,,47.0,,3,5.2,
The Legend (roller coaster),Holiday World & Splashin' Safari,Operating,Custom Coasters International,2000,38.1202,-86.914,Wood,2000-05-06,59.0,,0,,3000000.0
Muskrat Scrambler,Six Flags New Orleans,Closed,L&T Systems,2000,30.0515,-89.9357,Steel,2000-05-20,25.0,,0,,
Jack Rabbit (Celebration City),"Orlando, FloridaKissimmee, FloridaFayetteville, GeorgiaUnited States",Operating,,2003,28.3303,-81.5147,Other,,,,0,,
Nemesis (roller coaster),Alton Towers,Operating,Bolliger & Mabillard,1994,52.9869,-1.8828,Steel,1994-03-19,50.3,42.7,4,3.5,10000000.0
Oblivion: The Black Hole,Gardaland,Operating,Bolliger & Mabillard,2015,45.4582,10.7111,Steel,2015-03-28,62.2,,2,,
Rock n' Roller Coaster (Opryland),Other,,Arrow Development,1972,,,Steel,,45.0,,0,,
Slinky Dog Dash,Disney's Hollywood Studios,Operating,Mack Rides,2018,28.3594,-81.5607,Steel,2018-06-30,40.0,,0,,
Italian Job: Turbo Coaster,Other,,Premier Rides,2006,,,Steel,,40.0,,0,,
Pyrenees (roller coaster),Parque Espana-Shima Spain Village,Operating,Bolliger & Mabillard,1997,34.3598,136.845,Steel,1997-01-01,62.1,147.6,6,,
Diving Machine G5,Janfusun Fancyworld,Operating,Bolliger & Mabillard,2000,23.6181,120.5772,Steel,2000-03-29,68.3,,0,5.0,
Silver Bullet (Knott's Berry Farm),Knott's Berry Farm,Operating,Bolliger & Mabillard,2004,33.8444,-117.9997,Steel,2004-12-07,55.0,,6,3.0,16000000.0
Jupiter (roller coaster),Kijima Kogen,Operating,Intamin,1992,33.2617,131.4281,Wood,1992-01-01,56.5,137.8,0,,2500000000.0
Great American Scream Machine (Six Flags Great Adventure),Six Flags Great Adventure,Removed,Arrow Dynamics,1989,40.1391,-74.4381,Steel,1989-04-15,68.0,,7,3.8,7000000.0
Leap-The-Dips,Lakemont Park,Operating,Federal Construction Company,1902,,,Wood,1902-01-01,10.0,,0,,
Mumbo Jumbo (roller coaster),Flamingo Land Resort,Operating,S&S – Sansei Technologies,2009,54.209,-0.808,Steel,2009-07-04,41.0,,2,3.0,4000000.0
Pegasus (Efteling),Efteling,Removed,Dinn Corporation,1991,51.6469,5.0519,Wood,1991-07-01,34.2,,0,3.5,
Viper (Six Flags Great Adventure),Six Flags Great Adventure,Removed,TOGO,1995,40.139,-74.435,Steel,1995-06-02,48.0,,2,,4000000.0
Teststrecke,Other,,Anton Schwarzkopf,2009,,,Steel,,52.0,,2,,
Mighty Canadian Minebuster,Canada's Wonderland,Operating,Canada's Wonderland,1981,43.8392,-79.5419,Wood,1981-01-01,55.9,89.9,0,,1.2
Mick Doohan's Motocoaster,Dreamworld,Operating,Intamin,2007,-27.8628,153.3169,Steel,2007-09-30,44.7,23.0,0,,10000000.0
Big Dipper (Blackpool Pleasure Beach),Blackpool Pleasure Beach,Operating,William Strickler,1923,53.7892,-3.0569,Wood,1923-08-23,40.0,,0,3.7,25000.0
Steeplechase (Blackpool Pleasure Beach),Blackpool Pleasure Beach,Operating,Arrow Dynamics,1977,53.7888,-3.0558,Steel,1977-01-01,,,0,,813000.0
Cobra (Tivoli Friheden),Tivoli Friheden,Operating,Sartori Rides,2008,56.1358,10.1979,Steel,2008-06-28,43.5,,3,4.5,
Space Mountain (Tokyo Disneyland),Other,Operating,,1983,,,Steel,1983-04-15,30.0,,0,,
Dragon Mountain,Marineland of Canada,Operating,Arrow Huss,1983,43.0613,-79.0804,Steel,1983-07-16,50.0,,4,,9000000.0
Gold Rusher,Six Flags Magic Mountain,Operating,Arrow Development,1971,34.424,-118.5985,Steel,1971-05-29,35.0,,0,3.4,1200000.0
Expedition Everest,Disney's Animal Kingdom,Operating,Vekoma,2006,,,Other,2006-04-07,50.0,,0,3.0,100000000.0
Shockwave (Kings Dominion),Kings Dominion,Removed,TOGO,1986,37.8386,-77.4447,Steel,1986-03-23,50.0,,1,,4000000.0
Schweizer Bobbahn,Heide Park,Operating,Mack Rides,1978,,,Steel,1978-08-19,32.9,,0,,
Pulsar (roller coaster),Walibi Belgium,Operating,Mack Rides,2016,50.6988,4.5903,Steel,2016-06-04,62.8,147.6,0,,8500000.0
Predator (roller coaster),Six Flags Darien Lake,Operating,Dinn Corporation,1990,42.9292,-78.3861,Wood,1990-05-25,50.0,,0,,
Eagle Fortress,Everland,Removed,Arrow Dynamics,1992,,,Steel,1992-09-08,40.0,,0,,
Star Trek: Operation Enterprise,Movie Park Germany,Operating,Mack Rides,2017,51.6223,6.9729,Steel,2017-06-14,55.9,131.2,3,,
Leviathan (Sea World),Sea World,Under construction,Martin & Vleminckx,2022,-27.9574,153.4263,Wood,2022-01-01,49.7,105.0,0,,20000000.0
La Vibora,Other,,Intamin,1984,,,Steel,,32.0,,0,,9000000.0
Boulder Dash (roller coaster),Lake Compounce,Operating,Custom Coasters International,2000,41.6392,-72.9245,Wood,2000-05-21,60.0,,0,,6000000.0
Flight of Fear,Other,,Premier Rides,1996,,,Steel,,54.0,,4,4.5,
Double Loop (Geauga Lake),Geauga Lake,Removed,Arrow Dynamics,1977,41.3528,-81.3774,Steel,1977-01-01,36.0,,2,,1350000.0
Italian Job: Stunt Track (Canada's Wonderland),Other,,Premier Rides,2005,,,Steel,,40.0,,0,,
Crazy Bats,Phantasialand,Operating,Vekoma,1988,50.801,6.878,Steel,1988-04-01,28.9,,0,,
Vapor Trail (roller coaster),Sesame Place,Operating,Vekoma,1998,40.1852,-74.8725,Steel,1998-06-01,27.0,,0,,
Nitro (Six Flags Great Adventure),Six Flags Great Adventure,Operating,Bolliger & Mabillard,2001,40.1356,-74.4444,Steel,2001-04-07,80.0,,0,4.3,20000000.0
Jet Star (Luna Park),Other,,Anton Schwarzkopf,2000,,,Steel,,31.1,,0,,
Space Mountain: Mission 2,Disneyland Park (Paris),Operating,Vekoma,2005,48.8741,2.7793,Steel,2017-05-07,44.0,,3,,
Iron Rattler,Six Flags Fiesta Texas,Operating,Rocky Mountain Construction,2013,,,Steel,2013-05-25,70.0,,1,,10000000.0
The Mind Eraser (Geauga Lake),Other,,Vekoma,1996,,,Steel,,47.0,,6,5.2,
Soak'd,"2904 Fantasy Way Myrtle Beach, South Carolina, U.S.",Chapter 7 bankruptcy; rides dismantled and sold; property sold,,2008,33.714,-78.933,Other,,,,0,,
Big Dipper (Geauga Lake),Geauga Lake,Removed,,1925,41.3491,-81.378,Wood,1925-01-01,32.0,,0,,50000.0
WhirlWind (Seabreeze),Seabreeze Amusement Park,Operating,Maurer AG,2004,43.234,-77.5429,Steel,2004-01-01,37.3,,0,,2000000.0
The Flash: Vertical Velocity,Six Flags Discovery Kingdom,SBNO (Standing But Not Operating),Intamin,2001,38.1382,-122.2323,Steel,2001-06-08,65.0,,1,,
Skytrak,Granada Studios Tour,Removed,Skytrak International,1997,53.4781,-2.2571,Steel,1997-10-01,28.0,,0,2.5,
Taiga (roller coaster),Linnanmäki,Operating,Intamin,2019,60.1885,24.9391,Steel,2019-06-18,65.9,,4,5.0,
Wooden Roller Coaster (Playland),Playland,Not Currently Operating,,1958,49.2824,-123.0352,Wood,1958-01-01,49.7,,0,,200000.0
Dragon Challenge,Other,Removed,Bolliger & Mabillard,1999,28.4736,-81.4733,Steel,1999-05-28,60.0,,5,,
Silver Streak (Canada's Wonderland),Canada's Wonderland,Operating,Vekoma,2001,43.8424,-79.5462,Steel,2001-05-06,26.0,,0,,
Dragon's Run,Other,,Bolliger & Mabillard,2008,,,Steel,,65.0,,6,,
Roller Coaster (Dai Nam Van Hien),Đại Nam Văn Hiến,Operating,Hebei Zhongye Metallurgical Equipment,2008,11.0433,106.6325,Steel,2008-09-11,46.6,110.2,4,4.0,25000000000.0
Scooby-Doo (Kings Dominion),Kings Dominion,Operating,Philadelphia Toboggan Coasters,1974,37.8405,-77.4422,Wood,1974-01-01,35.0,,0,,
Batman & Robin: The Chiller,Other,Removed,Premier Rides,1998,,,Steel,1998-04-04,65.0,,1,5.0,15000000.0
Moto Coaster (Six Flags Darien Lake),Six Flags Darien Lake,Operating,Zamperla,2008,42.9304,-78.3834,Steel,2008-05-01,38.0,,0,,3.4
Cornball Express,Indiana Beach,Operating,Custom Coasters International,2001,40.7898,-86.771,Wood,2001-05-18,45.0,,0,4.7,
Copperhead Strike,Carowinds,Operating,Mack Rides GmbH & Co KG,2019,35.1011,-80.9426,Steel,2019-03-23,50.0,,5,,26000000.0
Dreamcatcher (roller coaster),Bobbejaanland,Operating,Vekoma,1987,51.1993,4.909,Steel,1987-01-01,,82.0,0,,
Flight Deck (California's Great America),California's Great America,Operating,Bolliger & Mabillard,1993,37.3981,-121.9718,Steel,1993-03-20,50.0,,3,4.5,
Roller Coaster (Lagoon),Lagoon Amusement Park,Operating,,1921,40.9849,-111.8951,Wood,1921-07-15,45.0,62.0,0,,
The Great Scenic Railway,Luna Park Melbourne,Operating,LaMarcus Thompson,1912,,,Wood,1912-12-01,37.3,52.5,0,,
Goudurix,Parc Astérix,Operating,Vekoma,1989,49.1314,2.5714,Steel,1989-01-01,55.9,118.1,7,3.9,
Streamliner Coaster,Six Flags Fiesta Texas,Operating,Vekoma,1992,29.5965,-98.6099,Steel,1992-03-14,,,0,,
The Barnstormer,Magic Kingdom,Operating,Vekoma,1996,28.4205,-81.5784,Steel,1996-10-01,25.0,29.9,0,,
Timber Wolf (roller coaster),Worlds of Fun,Operating,Dinn Corporation,1989,39.1728,-94.4892,Wood,1989-04-01,53.0,,0,,3000000.0
Wildcat (Lake Compounce),Lake Compounce,Operating,Philadelphia Toboggan Coasters,1927,41.6408,-72.9231,Wood,1927-01-01,48.0,,0,,
Vortex (Canada's Wonderland),Canada's Wonderland,Operating,Arrow Dynamics,1991,43.8419,-79.5435,Steel,1991-05-12,55.0,91.2,0,,
Tantrum (roller coaster),Six Flags Darien Lake,Operating,Gerstlauer,2018,42.9294,-78.3849,Steel,2018-05-25,52.8,,3,,
The Dark Knight Coaster,Other,,Mack Rides,2008,,,Steel,,30.0,,0,,
Comet (Waldameer),Waldameer Park,Operating,Philadelphia Toboggan Coasters,1951,42.1077,-80.1568,Wood,1951-01-01,25.0,,0,,
Valravn (roller coaster),Cedar Point,Operating,Bolliger & Mabillard,2016,41.4813,-82.684,Steel,2016-05-07,75.0,,3,,
Smoky Mountain Alpine Coaster,Other,Operating,Wiegand,2013,35.7934,-83.5965,Steel,2013-08-03,27.0,,0,,
Leviathan (Canada's Wonderland),Canada's Wonderland,Operating,Bolliger & Mabillard,2012,43.8445,-79.5424,Steel,2012-05-06,92.0,306.1,0,4.5,28000000.0
Primeval Whirl,Disney's Animal Kingdom,Removed,Reverchon Industries,2002,28.3564,-81.5877,Steel,2002-03-31,29.1,,0,2.5,
Dragon Slayer (roller coaster),Adventureland (Iowa),Operating,S&S - Sansei Technologies,2021,41.651,-93.5024,Steel,2021-05-29,34.0,,0,,7000000.0
Full Throttle (roller coaster),Six Flags Magic Mountain,Operating,Premier Rides,2013,34.4232,-118.5972,Steel,2013-06-22,70.0,,2,4.0,6000000.0
Kingdom Coaster,Dutch Wonderland,Operating,Custom Coasters International,1992,40.0295,-76.2173,Wood,1992-05-16,40.0,,0,,
Cactus Coaster,Other,,Allan Herschell Company,1995,,,Steel,,,,0,,
Jack Rabbit (Seabreeze),Seabreeze Amusement Park,Operating,Harry C. Baker,1920,43.2316,-77.5432,Wood,1920-01-01,42.0,,0,,
Vortex (Calaway Park),Calaway Park,Operating,Arrow Dynamics,1982,51.0875,-114.3594,Steel,1982-01-01,,,2,,
Goliath (Six Flags Great America),Six Flags Great America,Operating,Rocky Mountain Construction,2014,42.3661,-87.9311,Other,2014-06-19,72.0,,2,,
El Toro (Six Flags Great Adventure),Six Flags Great Adventure,Closed,Intamin,2006,40.1389,-74.4346,Wood,2006-06-12,70.0,,0,,
Timberline Twister,"8039 Beach BoulevardBuena Park, California 90620, U.S.",,,1983,33.8442,-118.0003,Other,,,,0,,
Lisebergbanan,Liseberg,Operating,Zierer,1987,57.695,11.9925,Steel,1987-04-18,49.7,147.6,0,3.0,
Great American Scream Machine (Six Flags Over Georgia),Six Flags Over Georgia,Operating,Philadelphia Toboggan Coasters,1973,33.7658,-84.5514,Wood,1973-03-31,57.0,,0,3.7,
Vortex (Kings Island),Kings Island,Removed,Arrow Dynamics,1987,39.3407,-84.2642,Steel,1987-04-11,55.0,,6,3.9,4000000.0
Fire in the Hole (Silver Dollar City),Silver Dollar City,Operating,Herschend Family Entertainment,1972,36.6703,-93.3407,Steel,1972-01-01,27.0,,0,,
Looping Star (Nagashima Spa Land),Nagashima Spa Land,Operating,Anton Schwarzkopf,1982,35.0306,136.7323,Steel,1982-01-01,40.0,,1,,
Anaconda (Walygator Parc),Walygator Parc,Operating,William Cobb,1989,,,Other,1989-01-01,,,0,,
Viper (Six Flags AstroWorld),Other,,Anton Schwarzkopf,1989,,,Steel,,47.8,,1,,
Steel First,Other,,Allan Herschell Company,1985,,,Steel,1985-01-01,,,0,,
Wodan Timbur Coaster,Europa-Park,Operating,Great Coasters International,2012,48.2614,7.7192,Wood,2012-03-31,62.1,,0,3.5,10000000.0
VelociCoaster,Universal's Islands of Adventure,Operating,Intamin,2021,28.4713,-81.472,Steel,2021-06-10,70.0,,4,,
The Rattler (roller coaster),Six Flags Fiesta Texas,Operating,Rocky Mountain Construction,1992,,,Steel,2013-05-25,70.0,,1,,10000000.0
Canobie Corkscrew,Canobie Lake Park,Removed,Arrow Development,1987,42.7935,-71.2499,Steel,1975-01-01,45.0,,2,,
Kvasten,Gröna Lund,Operating,Vekoma,2007,59.3226,18.0964,Steel,2007-04-28,34.2,64.3,0,2.5,7850000.0
Soarin' Eagle,Other,,Zamperla,2011,,,Steel,,25.7,,2,3.3,
Top Gun (Kings Island),Kings Island,Operating,Arrow Dynamics,1993,39.3476,-84.2652,Steel,1993-04-09,51.0,,0,2.9,
Millennium Force,Cedar Point,Operating,Intamin,2000,41.4817,-82.6881,Steel,2000-05-13,93.0,,0,4.5,25000000.0
Boomerang: Coast to Coaster,Other,,Vekoma,1997,,,Steel,,47.0,,3,5.2,5.0
Speed: No Limits,Oakwood Theme Park,Operating,Gerstlauer,2006,51.779,-4.805,Steel,2006-04-13,59.0,,2,4.5,3000000.0
Carolina Cyclone,Carowinds,Operating,Arrow Dynamics,1980,35.1042,-80.9436,Steel,1980-03-22,41.0,,4,3.5,2000000.0
Electric Eel (roller coaster),SeaWorld San Diego,Operating,Premier Rides,2018,32.765,-117.224,Steel,2018-05-10,62.0,,1,,
ZDT's Amusement Park,ZDT's Amusement Park,Operating,The Gravity Group,2015,,,Wood,2015-10-17,40.4,,0,,
Cannonball Express (roller coaster),Pleasurewood Hills,Operating,Anton Schwarzkopf,1995,52.5062,1.7451,Steel,1995-01-01,34.0,,0,,
OzIris,Parc Astérix,Operating,Bolliger & Mabillard,2012,49.1342,2.5663,Steel,2012-04-07,56.0,,5,,
Tigre de Sibérie,Le Pal,Operating,Reverchon Industries,1990,,,Steel,1990-01-01,24.9,,0,,
Ghost Chasers (roller coaster),Movie Park Germany,Operating,Mack Rides,2000,51.6195,6.9765,Steel,2000-01-01,28.0,45.9,0,,
Sea Viper (roller coaster),Sea World,Removed,Arrow Dynamics,1982,-27.9569,153.4265,Steel,1982-09-17,43.5,91.9,3,,
Sierra Sidewinder,Knott's Berry Farm,Operating,Mack Rides,2007,33.845,-117.9986,Steel,2007-05-26,37.0,,0,,
Canyon Blaster (Adventuredome),Adventuredome,Operating,Arrow Dynamics,1993,36.1381,-115.1664,Steel,1993-08-23,41.0,,4,3.5,
RC Racer,Other,,Intamin,2010,,,Steel,,,82.0,0,,
The Gauntlet (roller coaster),Magic Springs and Crystal Falls,Operating,Vekoma,2004,38.1941,-85.747,Steel,2004-04-10,49.7,,5,,7000000.0
Firehawk (roller coaster),Other,,Vekoma,2007,,,Steel,,50.0,,5,4.3,15000000.0
Blue Hawk (roller coaster),Other,,Vekoma,1992,,,Steel,,52.0,,5,4.0,
Back at the Barnyard Hayride,Nickelodeon Universe,Operating,Zamperla,1995,44.8542,-93.2422,Steel,1995-01-01,,,0,,
Lost Coaster of Superstition Mountain,Indiana Beach,Operating,Custom Coasters International,2002,40.7886,-86.77,Wood,2002-06-06,20.0,,0,,
Twist n' Shout,Loudoun Castle,Removed,Anton Schwarzkopf,2003,55.6104,-4.3689,Steel,2003-04-01,41.0,,1,,
Wood Coaster (Mountain Flyer),OCT East,Operating,Great Coasters International,2011,22.6145,114.2968,Wood,2011-07-19,61.2,,0,,90000000.0
Windjammer Surf Racers,Other,Removed,TOGO,1997,33.8458,-118.0008,Steel,1997-03-26,40.0,,1,,6200000.0
Toboggan (Conneaut Lake Park),Conneaut Lake Park,Removed,Chance Rides,2002,41.6341,-80.3137,Steel,2002-01-01,,,0,,
Sierra Tonante,Mirabilandia,Removed,S.D.C.,1992,44.3361,12.2619,Wood,1992-01-01,62.1,,0,4.0,
Arkansas Twister,Magic Springs and Crystal Falls,Operating,Michael Black and Associates,1978,34.5213,-93.0143,Wood,1978-01-01,50.0,,0,,2300000.0
Space Shuttle (roller coaster),Enchanted Kingdom,Operating,Vekoma,1995,14.2819,121.0954,Steel,1995-07-28,47.0,,3,5.2,
Grizzly (Kings Dominion),Kings Dominion,Operating,Taft Broadcasting Company,1982,37.8375,-77.4471,Wood,1982-03-27,51.0,,0,,
Untamed (Walibi Holland),Walibi Holland,Operating,Rocky Mountain Construction,2000,52.4428,5.7608,Steel,2019-07-01,57.2,,5,,
Shambhala (roller coaster),PortAventura Park,Operating,Bolliger & Mabillard,2012,41.0847,1.1564,Other,2012-05-12,83.3,249.3,0,3.8,
BuzzSaw (roller coaster),Dreamworld,Removed,Maurer AG,2011,-27.8623,153.3149,Steel,2011-09-17,65.2,151.6,2,5.0,7000000.0
Mulholland Madness,Disney California Adventure,Operating,Mack Rides,2001,33.8063,-117.923,Steel,2001-02-08,27.0,,0,,
Abyss (roller coaster),Adventure World,Operating,Gerstlauer,2013,-32.0955,115.817,Steel,2013-11-01,52.8,98.4,3,4.5,12000000.0
Vampire (roller coaster),Chessington World of Adventures,Operating,Arrow Dynamics,1990,51.3473,-0.3156,Steel,1990-04-11,45.0,,0,4.0,
Big Bad Wolf (roller coaster),Busch Gardens Williamsburg,Removed,Arrow Dynamics,1984,37.2335,-76.6449,Steel,1984-06-15,48.0,,0,4.0,6000000.0
The Bat (Canada's Wonderland),Other,,,1987,43.8442,-79.5414,Other,,,,0,,
