Coaster_Name,Location,Status,Manufacturer,Year_Introduced,latitude,longitude,Type_Main,Opening_Date,Speed_mph,Height_ft,Inversions,Gforce,Cost
Gold Rush (Slagharen),Attractiepark Slagharen,Operating,Gerstlauer,2017,52.6244,6.5619,Steel,2017-04-13,59.0,,2,,5000000.0
Batman: Arkham Asylum (roller coaster),Parque Warner Madrid,Operating,Bolliger & Mabillard,2002,40.2282,-3.5924,Steel,2002-04-06,49.7,,5,4.9,
Dynamite (Freizeitpark Plohn),Freizeitpark Plohn,,Mack Rides,2019,,,Steel,2019-05-18,62.1,144.4,3,,
Titan (Six Flags Over Texas),Six Flags Over Texas,Operating,Giovanola,2001,32.7556,-97.0742,Steel,2001-04-27,85.0,,0,,
Gold Striker,California's Great America,Operating,Great Coasters International,2013,37.3967,-121.9749,Wood,2013-05-31,53.7,,0,4.2,10000000.0
HangTime (roller coaster),Knott's Berry Farm,Operating,Gerstlauer,2018,33.8448,-118.0015,Steel,2018-05-18,57.0,,5,,
The Swarm (roller coaster),Thorpe Park,Operating,Bolliger & Mabillard,2012,51.4056,-0.5154,Steel,2012-03-15,59.0,126.6,5,4.5,
Pony Express (roller coaster),Knott's Berry Farm,Operating,Zamperla,2008,33.8429,-118.0013,Steel,2008-05-22,38.0,,0,,
Hakugei (roller coaster),Nagashima Spa Land,Operating,Rocky Mountain Construction,1994,35.0303,136.7347,Steel,2019-03-28,66.5,180.4,3,4.0,2800000000.0
Tiki-Waka (roller coaster),Walibi Belgium,Operating,Gerstlauer,2018,50.6971,4.5871,Steel,2018-04-07,34.2,,0,,7800000.0
Texas Stingray,SeaWorld San Antonio,Operating,Great Coasters International,2020,29.4524,-98.699,Wood,2020-02-22,55.0,,0,,
Thundercoaster (TusenFryd),TusenFryd,Operating,Vekoma,2001,59.7472,10.7773,Wood,2001-05-01,57.8,,0,2.4,
Medusa Steel Coaster,Six Flags México,Operating,Rocky Mountain Construction,2014,19.2945,-99.2112,Steel,2014-06-14,58.0,,3,,
Fiorano GT Challenge,Other,Operating,Maurer AG,2010,24.4864,54.6042,Steel,2010-11-04,59.0,,0,1.5,
Raik,Phantasialand,Operating,Vekoma,2016,50.7996,6.8828,Steel,2016-06-30,38.5,,0,,
Verbolten,Busch Gardens Williamsburg,Operating,Zierer,2012,37.2315,-76.6449,Steel,2012-05-18,53.0,,0,,
Formule X,Drievliet Family Park,Operating,Maurer AG,2007,52.0544,4.3496,Steel,2007-04-06,45.0,,2,,
MP Xpress,Movie Park Germany,Operating,Vekoma,2001,51.6246,6.9733,Steel,2001-04-06,49.7,109.3,5,,
Fahrenheit (roller coaster),Hersheypark,Operating,Intamin,2008,40.291,-76.6552,Steel,2008-05-24,58.0,,6,,12100000.0
Formuła (Energylandia),Energylandia,Operating,Vekoma,2016,,,Steel,2016-06-25,49.2,81.0,3,3.8,
Do-Dodonpa,Fuji-Q Highland,Closed,S&S – Sansei Technologies,2001,35.4877,138.7823,Steel,2001-12-21,111.8,160.8,1,,
Colossus (Six Flags Magic Mountain),Six Flags Magic Mountain,Operating,Rocky Mountain Construction,1978,34.4278,-118.5975,Steel,2015-05-23,57.0,,2,,
Intimidator 305,Kings Dominion,Operating,Intamin,2010,37.8375,-77.4397,Steel,2010-04-02,90.0,,0,,25000000.0
Canopy Flyer,Universal Studios Singapore,Operating,Setpoint Inc.,2010,1.2534,103.824,Steel,2010-03-18,,,0,,
Typhoon (Bobbejaanland),Bobbejaanland,Operating,Gerstlauer,2004,51.1997,4.9055,Steel,2004-04-10,49.7,84.3,4,5.0,5000000.0
ArieForce One,Fun Spot America Atlanta,Under construction,Rocky Mountain Construction,2022,,,Steel,2022-01-01,64.0,,4,3.75,13000000.0
Abyss (roller coaster),Adventure World,Operating,Gerstlauer,2013,-32.0955,115.817,Steel,2013-11-01,52.8,98.4,3,4.5,12000000.0
Family Inverted Coaster (Happy Valley Shanghai),Happy Valley Shanghai,Operating,Bolliger & Mabillard,2014,31.0973,121.2087,Steel,2014-07-05,30.4,,0,,
Maverick (roller coaster),Cedar Point,Operating,Intamin,2007,41.4852,-82.6925,Steel,2007-05-26,70.0,,2,,21000000.0
Toboggan (Conneaut Lake Park),Conneaut Lake Park,Removed,Chance Rides,2002,41.6341,-80.3137,Steel,2002-01-01,,,0,,
Steel Lasso,Frontier City,Operating,Chance Morgan,2008,35.5838,-97.4405,Steel,2008-07-18,30.0,48.9,0,2.2,4000000.0
White Lightning (roller coaster),Fun Spot America,Operating,Great Coasters International,2013,28.4662,-81.4564,Wood,2013-06-07,44.3,,0,,3500000.0
Mystic Timbers,Kings Island,Operating,Great Coasters International,2017,,,Wood,2017-04-15,53.0,,0,,15000000.0
Hagrid's Magical Creatures Motorbike Adventure,Universal's Islands of Adventure,Operating,Intamin,2019,28.4298,-81.5859,Steel,2019-06-13,50.0,,0,,300000000.0
WhirlWind (Seabreeze),Seabreeze Amusement Park,Operating,Maurer AG,2004,43.234,-77.5429,Steel,2004-01-01,37.3,,0,,2000000.0
Lightning Rod (roller coaster),Dollywood,Operating,Rocky Mountain Construction,2016,,,Steel,2016-06-13,73.0,,0,3.5,22000000.0
The Smiler,Alton Towers,Operating,Gerstlauer,2013,52.9872,-1.8953,Steel,2013-05-31,52.8,,14,4.8,18000000.0
Defiance (roller coaster),Glenwood Caverns Adventure Park,Under construction,Gerstlauer,2022,,,Steel,2022-01-01,56.0,,2,,
Cobra (Tivoli Friheden),Tivoli Friheden,Operating,Sartori Rides,2008,56.1358,10.1979,Steel,2008-06-28,43.5,,3,4.5,
Mystery Mine,Dollywood,Operating,Gerstlauer,2007,35.7956,-83.5301,Steel,2007-04-13,43.5,,2,,17500000.0
Fury 325,Carowinds,Operating,Bolliger & Mabillard,2015,35.1055,-80.9425,Steel,2015-03-28,95.0,,0,,30000000.0
De Vliegende Hollander,Efteling,Operating,Kumbak,2007,51.648,5.0474,Steel,2007-04-01,42.9,59.1,0,2.0,20000000.0
Thirteen (roller coaster),Alton Towers,Operating,Intamin,2010,52.9847,-1.8904,Steel,2010-03-20,42.0,,0,3.2,15000000.0
Wicked (roller coaster),Lagoon Amusement Park,Operating,Zierer,2007,40.9839,-111.8956,Steel,2007-06-01,55.0,,1,4.8,10000000.0
The Flying Dinosaur,Universal Studios Japan,Operating,Bolliger & Mabillard,2016,34.6634,135.4305,Steel,2016-03-18,62.0,,5,,10000000000.0
Impulse (roller coaster),Knoebels Amusement Resort,Operating,Zierer,2015,40.8798,-76.5018,Steel,2015-04-25,55.0,,4,,
Scream (roller coaster),Six Flags Magic Mountain,Operating,Bolliger & Mabillard,2003,34.4286,-118.5983,Steel,2003-04-12,63.0,,7,4.0,
Steel Hawg,Indiana Beach,Operating,S&S – Sansei Technologies,2008,40.7909,-86.7718,Steel,2008-07-05,41.0,,2,,
Maxx Force,Six Flags Great America,Operating,S&S - Sansei Technologies,2019,,,Steel,2019-07-04,78.0,,5,4.5,15000000.0
Escape from Madagascar,Dreamworld,Operating,Vekoma,2002,-27.8639,153.3169,Steel,2002-12-26,26.0,48.9,0,2.2,
Hydra the Revenge,Dorney Park & Wildwater Kingdom,Operating,Bolliger & Mabillard,2005,40.581,-75.5325,Steel,2005-05-07,53.0,,7,,13000000.0
Star Trek: Operation Enterprise,Movie Park Germany,Operating,Mack Rides,2017,51.6223,6.9729,Steel,2017-06-14,55.9,131.2,3,,
Candymonium,Hersheypark,Operating,Bolliger & Mabillard,2020,40.2863,-76.659,Steel,2020-07-03,76.0,,0,,
Untamed (Walibi Holland),Walibi Holland,Operating,Rocky Mountain Construction,2000,52.4428,5.7608,Steel,2019-07-01,57.2,,5,,
Twist n' Shout,Loudoun Castle,Removed,Anton Schwarzkopf,2003,55.6104,-4.3689,Steel,2003-04-01,41.0,,1,,
Pégase Express,Parc Astérix,Operating,Gerstlauer,2017,49.1336,2.5737,Steel,2017-06-11,32.3,,0,,16000000.0
Ravine Flyer II,Waldameer Park,Operating,The Gravity Group,2008,42.1093,-80.157,Wood,2008-05-17,60.0,,0,3.5,6000000.0
Orkanen,Fårup Sommarland,Operating,Vekoma,2013,57.27,9.6453,Steel,2013-06-05,46.6,,0,3.0,35000000.0
Mine Blower,Fun Spot America (Kissimmee),Operating,The Gravity Group,2017,,,Wood,2017-06-23,48.5,,1,,6000000.0
Dæmonen,Tivoli Gardens,Operating,Bolliger & Mabillard,2004,55.6728,12.5703,Steel,2004-04-16,47.8,91.9,3,4.0,75000000.0
Dive Coaster (Chimelong Paradise),Chimelong Paradise,Operating,Bolliger & Mabillard,2008,22.9996,113.3233,Steel,2008-02-07,68.4,,1,4.4,
Junker (roller coaster),PowerPark,Operating,Gerstlauer,2015,63.2309,22.8555,Steel,2015-05-30,64.9,,3,4.5,
Saw – The Ride,Thorpe Park,Operating,Gerstlauer,2009,51.4026,-0.5119,Steel,2009-03-14,55.0,,3,,13500000.0
Pitts Special (roller coaster),PowerPark,Operating,Gerstlauer,2020,63.2307,22.8545,Steel,2020-06-24,62.1,142.7,0,4.5,
Dawson Duel (roller coaster),Other,Operating,Wiegand,2017,50.8483,2.9475,Steel,2017-05-05,24.9,,0,,4000000.0
Kingda Ka,Six Flags Great Adventure,Operating,Intamin,2005,40.1392,-74.4365,Steel,2005-05-21,128.0,,0,,25000000.0
Helix (roller coaster),Liseberg,Operating,Mack Rides,2014,57.6953,11.9908,Steel,2014-04-26,62.1,134.5,7,4.3,
Twisted Timbers,Kings Dominion,Operating,Rocky Mountain Construction,2018,,,Steel,2018-03-24,54.0,,3,,
Krampus Expédition,Nigloland,Operating,Mack Rides,2021,-48.2617,4.6142,Steel,2021-06-12,49.0,,0,3.5,12000000.0
Spinball Whizzer,Alton Towers,Operating,Maurer AG,2004,52.9889,-1.8946,Steel,2004-03-27,37.3,55.8,0,,3500000.0
Wakala (roller coaster),Bellewaerde,Operating,Gerstlauer,2020,50.849,2.9475,Steel,2020-07-01,31.1,,0,,7500000.0
Roller Soaker,Hersheypark,Removed,Setpoint USA,2002,40.2914,-76.6531,Steel,2002-05-04,20.5,,0,,
Lech Coaster,Legendia,Operating,Vekoma,2017,,,Steel,2017-07-01,59.0,131.2,3,,12000000.0
The Ride to Happiness,Plopsaland De Panne,Operating,Mack Rides,2021,51.081,2.5989,Steel,2021-07-01,55.9,,6,,17500000.0
Wooden Coaster - Fireball,Happy Valley Shanghai,Operating,Martin & Vleminckx,2009,31.0987,121.214,Wood,2009-08-16,56.0,,0,,
Hair Raiser,Ocean Park Hong Kong,Operating,Bolliger & Mabillard,2011,22.2357,114.1725,Steel,2011-12-08,54.7,,4,4.0,
Runaway Tram,Morey's Piers,Operating,Zierer,2019,38.9894,-74.8034,Steel,2019-08-09,28.6,,0,,4000000.0
Insane Speed,Janfusun Fancyworld,Operating,Bolliger & Mabillard,2001,23.6187,120.5758,Steel,2001-01-01,53.4,,4,4.0,
Oblivion: The Black Hole,Gardaland,Operating,Bolliger & Mabillard,2015,45.4582,10.7111,Steel,2015-03-28,62.2,,2,,
Nickelodeon Slime Streak,Nickelodeon Universe,Operating,Chance Rides,2019,40.8061,-74.0706,Steel,2019-10-25,37.0,,0,2.5,
X-Coaster,Magic Springs and Crystal Falls,Operating,Maurer AG,2006,34.5179,-93.0151,Steel,2006-05-27,65.0,,0,,4000000.0
New Mexico Rattler,Cliff's Amusement Park,Operating,,2002,35.143,-106.5884,Wood,2002-09-28,47.0,,0,,2000000.0
Eejanaika (roller coaster),Fuji-Q Highland,Operating,S&S Arrow,2006,35.4884,138.7808,Steel,2006-07-19,78.3,,3,,3500000000.0
Atlantis Adventure,Lotte World,Operating,Intamin,2003,,,Steel,2003-01-01,46.6,,0,,
Battlestar Galactica (roller coaster),Other,Operating,Vekoma,2010,1.2541,103.8223,Steel,2010-03-18,51.0,,5,,
Timber Drop,Fraispertuis City,Operating,S&S – Sansei Technologies,2011,48.3242,6.7295,Steel,2011-07-12,41.0,96.0,2,,3000000.0
Parrot Coaster,Chime-Long Ocean Kingdom,Operating,Bolliger & Mabillard,2014,22.1016,113.529,Steel,2014-01-25,67.0,,3,,
Wooden Warrior,Quassy Amusement Park,Operating,The Gravity Group,2011,41.5264,-73.1509,Wood,2011-04-23,35.0,,0,,
Expedition Everest,Disney's Animal Kingdom,Operating,Vekoma,2006,,,Other,2006-04-07,50.0,,0,3.0,100000000.0
Leviathan (Sea World),Sea World,Under construction,Martin & Vleminckx,2022,-27.9574,153.4263,Wood,2022-01-01,49.7,105.0,0,,20000000.0
Electric Eel (roller coaster),SeaWorld San Diego,Operating,Premier Rides,2018,32.765,-117.224,Steel,2018-05-10,62.0,,1,,
Krake,Heide Park,Operating,Bolliger & Mabillard,2011,53.0247,9.879,Steel,2011-04-16,64.0,134.5,1,,12000000.0
The Cú Chulainn Coaster,Tayto Park,Operating,The Gravity Group,2015,53.5427,-6.4628,Wood,2015-06-06,55.9,105.0,0,,8500000.0
Enchanted Airways,Universal Studios Singapore,Operating,Vekoma,2010,1.255,103.8222,Steel,2010-03-18,28.5,42.7,0,,
Roar-o-Saurus,Story Land,Operating,The Gravity Group,2014,44.1161,-71.1828,Wood,2014-05-24,33.0,,0,,
Dr. Diabolical’s Cliffhanger,Six Flags Fiesta Texas,Under construction,Bolliger & Mabillard,2022,,,Steel,2022-01-01,60.0,,2,,
Tron Lightcycle Power Run,Other,,Vekoma,2016,,,Steel,2016-06-16,59.3,,0,4.0,
Behemoth (roller coaster),Canada's Wonderland,Operating,Bolliger & Mabillard,2008,43.839,-79.5406,Steel,2008-05-04,77.1,229.7,0,4.5,26000000.0
Vonkaputous,Linnanmäki,Removed,Premier Rides,2001,60.1883,24.9381,Steel,2001-05-12,37.3,,0,2.5,22000000.0
Arthur – The Ride,Europa-Park,Operating,Mack Rides,2014,48.2639,7.7237,Steel,2014-06-01,19.3,44.3,0,,25000000.0
X2 (roller coaster),Six Flags Magic Mountain,Operating,Arrow Dynamics,2002,34.421,-118.5929,Steel,2002-01-12,76.0,,2,4.0,45000000.0
Flying Turns (Knoebels),Knoebels Amusement Resort,Operating,Knoebels Amusement Resort,2013,40.8784,-76.5051,Wood,2013-10-05,24.0,,0,,
Crystal Wing,Happy Valley Beijing,Operating,Bolliger & Mabillard,2006,39.866,116.4885,Steel,2006-07-09,51.0,,2,,
Spinning Dragons,Worlds of Fun,Operating,Gerstlauer,2004,39.1754,-94.4879,Steel,2004-04-17,31.0,,0,,4000000.0
Mulholland Madness,Disney California Adventure,Operating,Mack Rides,2001,33.8063,-117.923,Steel,2001-02-08,27.0,,0,,
El Toro (Freizeitpark Plohn),Freizeitpark Plohn,Operating,Great Coasters International,2009,50.566,12.401,Wood,2009-04-10,45.6,80.4,0,,
Kawasemi,Tobu Zoo,Operating,Intamin,2008,,,Steel,2008-01-01,52.8,,0,,
Steel Vengeance,Cedar Point,Operating,Rocky Mountain Construction,2018,41.4862,-82.6933,Steel,2018-05-05,74.0,,4,,
Dinoconda,China Dinosaurs Park,Operating,S&S – Sansei Technologies,2012,31.8245,119.9955,Steel,2012-04-29,78.3,,3,,
Crush's Coaster,Walt Disney Studios Park,Operating,Maurer AG,2007,48.8682,2.7777,Steel,2007-06-09,37.7,,0,,
Black Diamond (roller coaster),Knoebels Amusement Resort,Operating,Philadelphia Toboggan Coasters,2011,40.8797,-76.5068,Steel,2011-10-08,,,0,,2250000.0
Nitro (Six Flags Great Adventure),Six Flags Great Adventure,Operating,Bolliger & Mabillard,2001,40.1356,-74.4444,Steel,2001-04-07,80.0,,0,4.3,20000000.0
Hollywood Rip Ride Rockit,Universal Studios Florida,Operating,Maurer AG,2009,28.4749,-81.4683,Steel,2009-08-19,65.0,,0,4.18,45000000.0
Space Fantasy – The Ride,Universal Studios Japan,Operating,Mack Rides,2010,34.6653,135.4357,Steel,2010-03-18,,23.0,0,,
Eurofighter (Zoosafari Fasanolandia),Zoosafari Fasanolandia,Operating,Gerstlauer,2011,40.8303,17.3398,Steel,2011-08-06,43.5,75.5,2,,2187000.0
Taron (roller coaster),Phantasialand,Operating,Intamin,2016,50.7996,6.8828,Steel,2016-06-30,72.7,98.4,0,,
Raptor (Gardaland),Gardaland,Operating,Bolliger & Mabillard,2011,45.4571,10.7119,Steel,2011-04-01,55.9,,3,,
Puss in Boots' Giant Journey,Universal Studios Singapore,Operating,Zamperla,2015,1.2545,103.8245,Steel,2015-04-08,,55.8,0,,
Shock Wave (Brean Leisure Park),Brean Leisure Park,Operating,Pinfari,2004,51.2861,-3.0089,Steel,2004-01-01,,,1,,
Alpina Blitz,Nigloland,Operating,Mack Rides,2014,48.2617,4.6149,Steel,2014-04-12,51.6,108.3,0,4.3,8000000.0
Wicked Cyclone,Six Flags New England,Operating,Rocky Mountain Construction,2015,42.0403,-72.6156,Steel,2015-05-24,55.0,,3,,10000000.0
Dragonflier,Dollywood,Operating,Vekoma,2019,35.7977,-83.5312,Steel,2019-05-10,46.6,,0,3.5,
Dragon's Fury (roller coaster),Chessington World of Adventures,Operating,Maurer AG,2004,51.348,-0.319,Steel,2004-03-27,,,0,,
G Force (roller coaster),Drayton Manor Theme Park,Removed,Maurer AG,2005,52.6128,-1.7147,Other,2005-07-26,43.5,,3,4.3,2500000.0
Diving Coaster,Happy Valley Shanghai,Operating,Bolliger & Mabillard,2009,31.0979,121.209,Steel,2009-08-16,68.4,213.3,1,4.0,
Goofy's Sky School,Disney California Adventure,Operating,Mack Rides,2001,33.8063,-117.923,Steel,2001-02-08,27.0,,0,,
The Oath of Kärnan,Hansa-Park,Operating,Gerstlauer,2015,54.0769,10.78,Steel,2015-07-01,78.9,239.5,1,5.0,2.0
Mumbo Jumbo (roller coaster),Flamingo Land Resort,Operating,S&S – Sansei Technologies,2009,54.209,-0.808,Steel,2009-07-04,41.0,,2,3.0,4000000.0
Thunder Dolphin,Tokyo Dome City Attractions,Operating,Intamin,2003,35.7063,139.7533,Steel,2003-05-01,80.8,262.5,0,4.4,37000000.0
Booster Bike,Toverland,Operating,Vekoma,2004,51.3975,5.9842,Steel,2004-07-27,46.6,49.2,0,2.5,
Lightning (roller coaster),Kuwait Entertainment City,Removed,Bolliger & Mabillard,2004,29.3456,47.8182,Steel,2004-01-01,53.0,,5,,
Thunderbird (Holiday World),Holiday World & Splashin' Safari,Operating,Bolliger & Mabillard,2014,38.1242,-86.909,Steel,2015-04-25,60.0,,4,,22000000.0
Cheetah Hunt,Busch Gardens Tampa Bay,Operating,Intamin,2011,28.0342,-82.42,Steel,2011-05-27,60.0,,1,4.0,
Dare Devil Dive,Six Flags Over Georgia,Operating,Gerstlauer,2011,33.7703,-84.5479,Steel,2011-05-28,52.0,,3,,9000000.0
Slinky Dog Dash,Disney's Hollywood Studios,Operating,Mack Rides,2018,28.3594,-81.5607,Steel,2018-06-30,40.0,,0,,
The Rattler (roller coaster),Six Flags Fiesta Texas,Operating,Rocky Mountain Construction,1992,,,Steel,2013-05-25,70.0,,1,,10000000.0
Space Mountain: Mission 2,Disneyland Park (Paris),Operating,Vekoma,2005,48.8741,2.7793,Steel,2017-05-07,44.0,,3,,
Tranan,Skara Sommarland,Operating,S&S – Sansei Technologies,2009,58.41,13.55,Steel,2009-05-29,24.9,,0,2.5,35000000.0
Superman El Último Escape,Six Flags México,Operating,D. H. Morgan Manufacturing,2004,,,Steel,2004-11-19,74.6,,0,,
Goliath (Six Flags Great America),Six Flags Great America,Operating,Rocky Mountain Construction,2014,42.3661,-87.9311,Other,2014-06-19,72.0,,2,,
Manta (SeaWorld San Diego),SeaWorld San Diego,Operating,Mack Rides,2012,32.7671,-117.228,Steel,2012-05-26,43.0,,0,3.5,
Steel Curtain (roller coaster),Kennywood,Operating,S&S - Sansei Technologies,2019,40.3892,-79.8665,Steel,2019-07-13,75.0,,9,,
Full Throttle (roller coaster),Six Flags Magic Mountain,Operating,Premier Rides,2013,34.4232,-118.5972,Steel,2013-06-22,70.0,,2,4.0,6000000.0
Sequoia Adventure,Gardaland,Closed,S&S - Sansei Technologies,2005,45.457,10.7076,Steel,2005-04-30,,,3,,
TMNT Shellraiser,Nickelodeon Universe,Operating,Gerstlauer,2019,40.8066,-74.0712,Steel,2019-10-25,62.1,,7,,
Looping Star (Clacton Pier),Clacton Pier,Operating,Pinfari,2021,51.7864,-1.155,Steel,2021-10-23,,36.1,1,,
Sky Scrapper,World Joyland,Operating,Bolliger & Mabillard,2011,31.4975,120.0411,Steel,2011-04-30,54.7,,5,3.3,
